combo_id,seed,ct_lr,ct_w_lr,ct_multi_k_max,ct_multi_eta,ct_es_metric,ct_anchor_weight,ct_dyn_hidden,ct_dyn_con_w,ct_val_L1w,ct_val_L1anc,ct_val_MAE_uw_norm,ct_val_MAE_uw_uns,ct_val_align,ct_best_epoch,iql_best_val_mae_uns,iql_best_step,mae_uns_eval_split,eval_split
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.0,10,1e-4,5e-3,1,0.3,mae_uw,0.3,64,0.0,3.5566932e-08,1.1492193e-07,0.00024084093,0.01280696,0.00043603716,90,0.321017,3000,0.373855,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.3,64,0.01,8.854127e-08,2.7382443e-07,0.00037944925,0.020177597,0.00057789403,41,0.323812,1800,0.376837,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.3,128,0.01,6.4410819e-08,2.5446545e-07,0.00034257861,0.018216964,0.0007617538,65,0.324626,1800,0.377973,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.05,10,1e-4,5e-3,1,0.3,mae_uw,0.3,64,0.05,1.3029762e-08,1.5738781e-08,9.2092977e-05,0.0048971371,0.00018956322,119,0.317279,2000,0.369326,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-64_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.5,64,0.01,1.1337674e-07,3.8103502e-07,0.00043890519,0.023339227,0.00048797971,42,0.325394,3000,0.378379,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.05,10,1e-4,5e-3,1,0.3,mae_uw,0.3,128,0.05,4.7889607e-08,1.8702972e-07,0.00028400093,0.015102036,0.00067364105,98,0.319214,3000,0.371746,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.5_dh-128_dcw-0.01,10,1e-4,5e-3,1,0.3,mae_uw,0.5,128,0.01,4.6044711e-08,6.8112557e-08,0.00018439913,0.0098056102,0.00020511627,132,0.289987,2000,0.340450,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-64_dcw-0.1,10,1e-4,5e-3,1,0.3,mae_uw,0.3,64,0.1,4.664726e-08,1.6648856e-07,0.0002530354,0.013455413,0.00055188115,70,0.323721,3000,0.377073,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.7_dh-64_dcw-0.0,10,1e-4,5e-3,1,0.3,mae_uw,0.7,64,0.0,5.3793163e-08,2.1468229e-07,0.00034113122,0.018139997,0.00049777257,64,0.321599,3000,0.374370,false
lr-1e-4_wlr-5e-3_k-1_eta-0.3_esm-mae_uw_aw-0.3_dh-128_dcw-0.1,10,1e-4,5e-3,1,0.3,mae_uw,0.3,128,0.1,3.7992837e-08,4.530234e-08,0.00010929789,0.0058120257,0.00010253996,127,0.299202,2400,0.349969,false
