combo_id,seed,iql_tau,iql_beta,iql_target_tau,iql_lr,iql_discount,ct_ckpt_path,iql_picked_step,iql_best_step_sim,rho_sim_predictor,top1_overlap_sim_predictor,top3_overlap_sim_predictor,top5_overlap_sim_predictor,iql_best_val_mae_uns,iql_best_val_mae_predictor,mae_uns_eval_split,eval_split
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.95,10,0.5,3.0,0.001,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,800,200,0.964615,0,0.333333,1,1.08478,1.08478,0.329881,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.95,101,0.5,3.0,0.001,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,400,1200,0.916154,0,0.666667,0.8,6.8637,6.8637,0.571233,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.95,2020,0.5,3.0,0.001,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,1800,600,0.500769,0,0.333333,0.6,10.8386,10.8386,0.531742,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.95,10,0.5,3.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,400,400,0.943077,1,1,0.8,1.0829,1.0829,0.324026,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.95,101,0.5,3.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,1200,1200,0.838462,1,1,0.6,6.9852,6.9852,0.554876,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.95,2020,0.5,3.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,3600,600,0.560769,0,0.333333,0.6,10.8628,10.8628,0.535478,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.9,10,0.5,3.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,800,200,0.942308,0,0.666667,0.8,1.08148,1.08148,0.323884,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.9,101,0.5,3.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,400,1200,0.796923,0,0.666667,0.6,6.94965,6.94965,0.575907,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.9,2020,0.5,3.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,1600,1600,0.183846,1,0.333333,0.4,10.7903,10.7903,0.469403,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.9,10,0.5,3.0,0.001,5e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,400,400,0.834615,1,1,1,1.07988,1.07988,0.329245,false
