combo_id,seed,iql_tau,iql_beta,iql_target_tau,iql_lr,iql_discount,iql_best_val_mae_uns,iql_best_step,mae_uns_eval_split,eval_split
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.95,10,0.5,3.0,0.001,5e-4,0.95,9.463203,2600,0.668556,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.9,10,0.5,3.0,0.001,3e-4,0.9,8.877108,400,0.344592,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.9,2020,0.5,3.0,0.001,3e-4,0.9,12.792938,3600,1.460739,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.9,10,0.5,3.0,0.001,5e-4,0.9,9.556279,2600,0.720410,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.9,101,0.5,3.0,0.001,5e-4,0.9,4.919398,400,1.629568,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.9,2020,0.5,3.0,0.001,5e-4,0.9,12.783384,3600,1.484165,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.95,2020,0.5,5.0,0.001,3e-4,0.95,12.777935,3600,1.474790,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.95,10,0.5,5.0,0.001,5e-4,0.95,9.028053,2600,0.547203,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.95,2020,0.5,5.0,0.001,5e-4,0.95,12.750970,3600,1.480979,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.9,10,0.5,5.0,0.001,3e-4,0.9,8.139647,400,0.427073,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.9,2020,0.5,5.0,0.001,3e-4,0.9,12.771767,3600,1.481857,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.9,10,0.5,5.0,0.001,5e-4,0.9,9.191020,2600,0.613228,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.9,101,0.5,5.0,0.001,5e-4,0.9,4.508874,400,1.276109,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.9,2020,0.5,5.0,0.001,5e-4,0.9,12.765488,3600,1.486592,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.95,10,0.5,10.0,0.001,3e-4,0.95,7.618475,3200,0.402745,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.95,101,0.5,10.0,0.001,3e-4,0.95,3.995330,400,1.010690,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.95,2020,0.5,10.0,0.001,3e-4,0.95,12.721126,400,0.609991,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.95,101,0.5,10.0,0.001,5e-4,0.95,3.959600,400,0.801461,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.95,2020,0.5,10.0,0.001,5e-4,0.95,12.699210,3600,1.446390,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.9,101,0.5,10.0,0.001,3e-4,0.9,3.919573,400,0.850571,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.95,10,0.5,3.0,0.001,3e-4,0.95,8.471095,400,0.321066,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.95,101,0.5,3.0,0.001,3e-4,0.95,4.394421,400,0.653563,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.95,2020,0.5,3.0,0.001,3e-4,0.95,12.806351,3600,1.466932,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.95,101,0.5,3.0,0.001,5e-4,0.95,4.868138,400,1.539297,false
tau-0.5_beta-3.0_ttau-0.001_lr-5e-4_disc-0.95,2020,0.5,3.0,0.001,5e-4,0.95,12.785008,2000,1.467369,false
tau-0.5_beta-3.0_ttau-0.001_lr-3e-4_disc-0.9,101,0.5,3.0,0.001,3e-4,0.9,4.395554,400,0.761969,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.95,10,0.5,5.0,0.001,3e-4,0.95,7.983559,400,0.665845,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.95,101,0.5,5.0,0.001,3e-4,0.95,4.164029,400,0.609577,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.95,101,0.5,5.0,0.001,5e-4,0.95,4.524052,400,1.190090,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.9,101,0.5,5.0,0.001,3e-4,0.9,3.960895,400,0.748358,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.95,10,0.5,10.0,0.001,5e-4,0.95,7.895157,2600,0.375796,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.9,10,0.5,10.0,0.001,3e-4,0.9,7.779659,400,0.764521,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.9,2020,0.5,10.0,0.001,3e-4,0.9,12.729035,3600,1.504011,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.9,10,0.5,10.0,0.001,5e-4,0.9,8.178421,2600,0.482005,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.9,101,0.5,10.0,0.001,5e-4,0.9,4.026265,400,0.847501,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.9,2020,0.5,10.0,0.001,5e-4,0.9,12.707954,3600,1.495780,false
