combo_id,seed,iql_tau,iql_beta,iql_target_tau,iql_lr,iql_discount,ct_ckpt_path,iql_picked_step,iql_best_step_sim,rho_sim_predictor,top1_overlap_sim_predictor,top3_overlap_sim_predictor,top5_overlap_sim_predictor,iql_best_val_mae_uns,iql_best_val_mae_predictor,eval_tau,mae_uns_eval_split,eval_split
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,1,0.049686,false
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,2,0.086518,false
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,3,0.185964,false
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,4,0.210001,false
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,5,0.270834,false
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,6,0.369809,false
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,8,0.525953,false
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,10,0.690738,false
vcip_cancer_default,10,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803,12,0.860627,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,1,0.145630,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,2,0.304776,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,3,0.415193,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,4,0.550398,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,5,0.558817,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,6,0.539623,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,8,0.641402,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,10,0.614146,false
vcip_cancer_default,101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961,12,0.697389,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,1,0.084285,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,2,0.140220,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,3,0.216799,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,4,0.246083,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,5,0.333669,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,6,0.365983,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,8,0.527151,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,10,0.619412,false
vcip_cancer_default,1010,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,400,400,0.973077,1,1,0.8,2.52791,2.52791,12,0.768817,false
vcip_cancer_default,10101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10101/coeff_4/ct_best_encoder.pt,400,400,0.523077,1,0.333333,0.4,1.38645,1.38645,1,0.059233,false
vcip_cancer_default,10101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10101/coeff_4/ct_best_encoder.pt,400,400,0.523077,1,0.333333,0.4,1.38645,1.38645,2,0.123569,false
vcip_cancer_default,10101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10101/coeff_4/ct_best_encoder.pt,400,400,0.523077,1,0.333333,0.4,1.38645,1.38645,3,0.188992,false
vcip_cancer_default,10101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10101/coeff_4/ct_best_encoder.pt,400,400,0.523077,1,0.333333,0.4,1.38645,1.38645,4,0.234875,false
vcip_cancer_default,10101,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10101/coeff_4/ct_best_encoder.pt,400,400,0.523077,1,0.333333,0.4,1.38645,1.38645,5,0.262256,false
