combo_id,seed,gamma,iql_expectile,iql_beta,iql_target_tau,iql_lr,iql_discount,ct_ckpt_path,iql_ckpt_path,iql_picked_step,iql_best_step_sim,rho_sim_predictor,top1_overlap_sim_predictor,top3_overlap_sim_predictor,top5_overlap_sim_predictor,iql_best_val_mae_uns,iql_best_val_mae_predictor
vcip_cancer_default,10,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_10/coeff_4/iql_planner.pt,1200,800,0.0438462,0,0,0.2,1.28803,1.28803
vcip_cancer_default,101,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_101/coeff_4/iql_planner.pt,2200,1200,0.827692,0,0.333333,0.4,5.95961,5.95961
vcip_cancer_default,1010,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_1010/coeff_4/iql_planner.pt,400,400,0.896923,1,1,0.8,2.60013,2.60013
vcip_cancer_default,10101,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10101/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_10101/coeff_4/iql_planner.pt,2000,1400,0.391538,0,0.333333,0.4,1.36202,1.36202
vcip_cancer_default,101010,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_101010/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_101010/coeff_4/iql_planner.pt,3400,1400,0.523846,0,0,0,1.64819,1.64819
vcip_cancer_default,20,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_20/coeff_4/iql_planner.pt,200,200,0.886154,1,0.666667,0.6,7.10507,7.10507
vcip_cancer_default,202,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_202/coeff_4/iql_planner.pt,400,400,0.95,1,1,0.8,9.3671,9.3671
vcip_cancer_default,2020,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_2020/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_2020/coeff_4/iql_planner.pt,1800,400,0.791538,0,0.666667,0.8,11.224,11.224
vcip_cancer_default,20202,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_20202/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_20202/coeff_4/iql_planner.pt,3000,1200,0.0207692,0,0,0.2,1.78254,1.78254
vcip_cancer_default,202020,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_202020/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_202020/coeff_4/iql_planner.pt,200,200,0.945385,1,1,1,1.88476,1.88476
grid_ct_best_k1,1010,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_1010/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_1010/coeff_4/iql_planner.pt,1800,1200,-0.259231,0,0,0,1.23546,1.23546
grid_ct_best_k1,10,4,0.5,5.0,0.005,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/ct_checkpoints/tumor_generator/seed_10/coeff_4/ct_best_encoder.pt,/home/liam/pythonProject/VCIP-ICML-main/iql_models/tumor_generator/seed_10/coeff_4/iql_planner.pt,200,2200,-0.831538,0,0,0,0.730385,0.730385
